number_sweeps,acc_prob_mean,acc_prob_std,acc_prob_median,acc_prob_min,acc_prob_max,overlap_prob_mean,overlap_prob_std,overlap_prob_median,overlap_prob_min,overlap_prob_max,residual_prob_mean,residual_prob_std,residual_prob_median,residual_prob_min,residual_prob_max
100,0.5470703125,0.01833650503755248,0.55126953125,0.517578125,0.5693359375,0.99990234375,0.00029296875,1.0,0.9990234375,1.0,0.5470703125,0.01833650503755248,0.55126953125,0.517578125,0.5693359375
200,0.6142578125,0.014667955746498896,0.61376953125,0.5927734375,0.6435546875,0.99970703125,0.0004475171577105313,1.0,0.9990234375,1.0,0.6142578125,0.014667955746498896,0.61376953125,0.5927734375,0.6435546875
400,0.62109375,0.01777236432199582,0.6201171875,0.587890625,0.650390625,0.998046875,0.0015746597164645606,0.99853515625,0.994140625,1.0,0.62109375,0.01777236432199582,0.6201171875,0.587890625,0.650390625
800,0.640625,0.014090954285490434,0.640625,0.6171875,0.6630859375,0.99482421875,0.0022714264354712905,0.994140625,0.9912109375,0.998046875,0.640625,0.014090954285490434,0.640625,0.6171875,0.6630859375
1600,0.6921875,0.015587112267756855,0.69189453125,0.6591796875,0.7138671875,0.99267578125,0.0025559086578715627,0.9921875,0.9892578125,0.998046875,0.6921875,0.015587112267756855,0.69189453125,0.6591796875,0.7138671875
3200,0.7662109375,0.012159673762713579,0.7626953125,0.7470703125,0.79296875,0.99404296875,0.0017166402178952097,0.99365234375,0.9912109375,0.9970703125,0.7662109375,0.012159673762713579,0.7626953125,0.7470703125,0.79296875
6400,0.8419921875,0.009675364122266277,0.84375,0.822265625,0.857421875,0.99365234375,0.0021506558149946525,0.994140625,0.98828125,0.99609375,0.8419921875,0.009675364122266277,0.84375,0.822265625,0.857421875
12800,0.917578125,0.009659580483498622,0.92236328125,0.8994140625,0.927734375,0.99560546875,0.001916153991244979,0.99609375,0.9912109375,0.998046875,0.917578125,0.009659580483498622,0.92236328125,0.8994140625,0.927734375
25600,0.96611328125,0.0038829873734513754,0.9677734375,0.9609375,0.97265625,0.9984375,0.0013948102399497753,0.9990234375,0.9951171875,1.0,0.96611328125,0.0038829873734513754,0.9677734375,0.9609375,0.97265625
51200,0.98681640625,0.002402026147704852,0.98681640625,0.9814453125,0.9912109375,0.99912109375,0.0009212872199274027,0.9990234375,0.9970703125,1.0,0.98681640625,0.002402026147704852,0.98681640625,0.9814453125,0.9912109375
102400,0.9984375,0.0010874539771152387,0.9990234375,0.99609375,1.0,0.9998046875,0.000390625,1.0,0.9990234375,1.0,0.9984375,0.0010874539771152387,0.9990234375,0.99609375,1.0
204800,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
