number_sweeps,acc_prob_mean,acc_prob_std,acc_prob_median,acc_prob_min,acc_prob_max,overlap_prob_mean,overlap_prob_std,overlap_prob_median,overlap_prob_min,overlap_prob_max,residual_prob_mean,residual_prob_std,residual_prob_median,residual_prob_min,residual_prob_max
100,0.2083984375,0.013547143073327998,0.2109375,0.1875,0.2275390625,1.0,0.0,1.0,1.0,1.0,0.2083984375,0.013547143073327998,0.2109375,0.1875,0.2275390625
200,0.29765625,0.01574538584134948,0.30029296875,0.2666015625,0.3193359375,1.0,0.0,1.0,1.0,1.0,0.29765625,0.01574538584134948,0.30029296875,0.2666015625,0.3193359375
400,0.40205078125,0.010381461096448339,0.40283203125,0.37890625,0.4140625,1.0,0.0,1.0,1.0,1.0,0.40205078125,0.010381461096448339,0.40283203125,0.37890625,0.4140625
800,0.4943359375,0.018300062102332294,0.4921875,0.466796875,0.525390625,1.0,0.0,1.0,1.0,1.0,0.4943359375,0.018300062102332294,0.4921875,0.466796875,0.525390625
1600,0.5267578125,0.011136238507928463,0.52294921875,0.509765625,0.5439453125,1.0,0.0,1.0,1.0,1.0,0.5267578125,0.011136238507928463,0.52294921875,0.509765625,0.5439453125
3200,0.548828125,0.012604845937705118,0.54931640625,0.52734375,0.5693359375,1.0,0.0,1.0,1.0,1.0,0.548828125,0.012604845937705118,0.54931640625,0.52734375,0.5693359375
6400,0.57578125,0.01929149722635273,0.56689453125,0.552734375,0.619140625,1.0,0.0,1.0,1.0,1.0,0.57578125,0.01929149722635273,0.56689453125,0.552734375,0.619140625
12800,0.62548828125,0.010815181686279087,0.625,0.603515625,0.642578125,1.0,0.0,1.0,1.0,1.0,0.62548828125,0.010815181686279087,0.625,0.603515625,0.642578125
25600,0.67236328125,0.0096304115836504,0.67041015625,0.658203125,0.693359375,1.0,0.0,1.0,1.0,1.0,0.67236328125,0.0096304115836504,0.67041015625,0.658203125,0.693359375
51200,0.72421875,0.014386989734924138,0.724609375,0.703125,0.751953125,1.0,0.0,1.0,1.0,1.0,0.72421875,0.014386989734924138,0.724609375,0.703125,0.751953125
102400,0.78388671875,0.005860188745577148,0.783203125,0.7763671875,0.796875,1.0,0.0,1.0,1.0,1.0,0.78388671875,0.005860188745577148,0.783203125,0.7763671875,0.796875
204800,0.8384765625,0.006240838011199397,0.83837890625,0.8291015625,0.8466796875,1.0,0.0,1.0,1.0,1.0,0.8384765625,0.006240838011199397,0.83837890625,0.8291015625,0.8466796875
