number_sweeps,acc_prob_mean,acc_prob_std,acc_prob_median,acc_prob_min,acc_prob_max,overlap_prob_mean,overlap_prob_std,overlap_prob_median,overlap_prob_min,overlap_prob_max,residual_prob_mean,residual_prob_std,residual_prob_median,residual_prob_min,residual_prob_max
100,0.354296875,0.017744438912084187,0.35595703125,0.3271484375,0.3876953125,1.0,0.0,1.0,1.0,1.0,0.354296875,0.017744438912084187,0.35595703125,0.3271484375,0.3876953125
200,0.4119140625,0.015445749156068394,0.416015625,0.3837890625,0.4375,1.0,0.0,1.0,1.0,1.0,0.4119140625,0.015445749156068394,0.416015625,0.3837890625,0.4375
400,0.43994140625,0.009797311873482904,0.4384765625,0.4228515625,0.4580078125,1.0,0.0,1.0,1.0,1.0,0.43994140625,0.009797311873482904,0.4384765625,0.4228515625,0.4580078125
800,0.473828125,0.019110706847496182,0.470703125,0.4384765625,0.498046875,1.0,0.0,1.0,1.0,1.0,0.473828125,0.019110706847496182,0.470703125,0.4384765625,0.498046875
1600,0.5021484375,0.0157877268577822,0.5,0.47265625,0.53125,1.0,0.0,1.0,1.0,1.0,0.5021484375,0.0157877268577822,0.5,0.47265625,0.53125
3200,0.5060546875,0.011520126643014553,0.50146484375,0.49609375,0.533203125,1.0,0.0,1.0,1.0,1.0,0.5060546875,0.011520126643014553,0.50146484375,0.49609375,0.533203125
6400,0.5189453125,0.010178761109996394,0.51953125,0.494140625,0.529296875,1.0,0.0,1.0,1.0,1.0,0.5189453125,0.010178761109996394,0.51953125,0.494140625,0.529296875
12800,0.52763671875,0.01423940646274039,0.529296875,0.5029296875,0.5478515625,1.0,0.0,1.0,1.0,1.0,0.52763671875,0.01423940646274039,0.529296875,0.5029296875,0.5478515625
25600,0.528125,0.017009016450841595,0.52685546875,0.5048828125,0.5546875,1.0,0.0,1.0,1.0,1.0,0.528125,0.017009016450841595,0.52685546875,0.5048828125,0.5546875
51200,0.54599609375,0.007102100717022152,0.5478515625,0.5322265625,0.556640625,1.0,0.0,1.0,1.0,1.0,0.54599609375,0.007102100717022152,0.5478515625,0.5322265625,0.556640625
102400,0.56103515625,0.010085106139487406,0.5615234375,0.5400390625,0.5771484375,1.0,0.0,1.0,1.0,1.0,0.56103515625,0.010085106139487406,0.5615234375,0.5400390625,0.5771484375
204800,0.576953125,0.013774724751957386,0.5771484375,0.5546875,0.6044921875,1.0,0.0,1.0,1.0,1.0,0.576953125,0.013774724751957386,0.5771484375,0.5546875,0.6044921875
